Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
aria-set-sage-green,Aria Set - Sage Green,"<div class=""product-description"">Volume in the right places. Stillness everywhere else.<br>The Aria Set pairs a peplum top with wide-leg trousers in sage green hemp, a combination that understands proportion without overthinking it.<br>The top is built on kali panels, each one placed with intent to create a flare that begins at the waist and opens into a soft, fluid shape. Structured at the waist, it holds form while feeling easy. The sleeves carry their own detail, defined and present without drawing too much attention.<br>The trousers follow through with the same ease. Wide-legged, and in movement.<br>Everything in yarn-dyed sage green hemp. Designed to move well and feel even better.</div>
<div class=""fabric-fit"">
<h4>Fabric &amp; Fit</h4>Fabric: 100% Hemp<br>Color: Yarn dyed Sage Green<br>Top Fit: Relaxed Fit with Structured waist, Length: 26""<br>Pant Fit: Wide Leg, Length: 42"" across all sizes<br>Model Fit: Model is 5'7""/ wearing size S</div>
<div class=""washcare"">
<h4>Care Instructions</h4>Care :<br>● Wash in cold water (below 30°C) <br>● Use a mild, pH-neutral detergent <br>● Hand wash or gentle machine cycle <br>● Air dry in shade; avoid high heat      <br>● Iron on low to medium heat, preferably when slightly damp <br>● Avoid bleach and harsh chemicals <br>● Do not overwash: air between wears to keep it fresh <br>● Spot clean when possible instead of full washing <br><br>Note :<br>● Wash separately for the first few washes, as slight colour release may occur. <br>● Garments with hand embroidery are best cared for through dry cleaning. <br>● Subtle variations in colour and texture are natural. Each piece is unique. Just a little care, and the fabric will take care of the rest.</div>",Soulmead,,Co-ord Set,"Co-ord Set, Sage Green",true,Size,XS,,,,,,,,WT03-WP04-SageGreen-XS,0.0,shopify,10,deny,manual,14980.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03952.jpg?v=1775122897,1,,false,,,,kg,,,active
aria-set-sage-green,,,,,,,,,S,,,,,,,,WT03-WP04-SageGreen-S,0.0,shopify,10,deny,manual,14980.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03960.jpg?v=1775122903,2,,,,,,kg,,,
aria-set-sage-green,,,,,,,,,M,,,,,,,,WT03-WP04-SageGreen-M,0.0,shopify,10,deny,manual,14980.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03963.jpg?v=1775122909,3,,,,,,kg,,,
aria-set-sage-green,,,,,,,,,L,,,,,,,,WT03-WP04-SageGreen-L,0.0,shopify,10,deny,manual,14980.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03976.jpg?v=1775122918,4,,,,,,kg,,,
aria-set-sage-green,,,,,,,,,XL,,,,,,,,WT03-WP04-SageGreen-XL,0.0,shopify,10,deny,manual,14980.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC04001.jpg?v=1775122923,5,,,,,,kg,,,
aria-set-sage-green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC04013.jpg?v=1775122928,6,,,,,,,,,
frame-top-ecru,Frame Top - Ecru,"<div class=""product-description"">Some garments are worn. This one is experienced.<br>The Frame Top holds warmth in its tone, edged with natural camel piping that traces the neckline and front placket. It frames the piece quietly, giving it structure without weight.<br>A hand-smocked chevron strip runs down the center, adding depth and a sense of form. On one side, hand-embroidered French knots, wooden beads, and mother-of-pearl shell fragments are scattered across the shoulder and sleeve. Each placement is slightly different, making every piece one of its own.<br>Easy in fit, but considered in detail. Something you notice more, the longer you wear it.</div>
<div class=""fabric-fit"">
<h4>Fabric &amp; Fit</h4>Fabric: Kala Cotton <br>Color: Ecru<br>Fit: Relaxed, Length: 26""<br>Model Fit: Model is 5'7""/ wearing size S<br>
</div>
<div class=""washcare"">
<h4>Care Instructions</h4>Care :<br>● Wash in cold water only<br>● Use a mild detergent<br>● Wash separately, especially during initial washes<br>● Air dry in shade; avoid direct sunlight<br>● Do not wring or scrub harshly<br>● Iron on low heat, inside out<br>● Avoid bleach and harsh chemicals<br>● Do not overwash: allow the fabric to breathe between wears<br>● Spot clean gently when needed<br><br>Note :<br>● Wash separately for the first few washes, as slight colour release may occur.<br>● Garments with hand embroidery are best cared for through dry cleaning.<br>● Subtle variations in colour and texture are natural. Each piece is unique.<br>Just a little care, and the fabric will take care of the rest.</div>",Soulmead,,Top,"Ecru, Top",true,Size,XS,,,,,,,,WT02-Ecru-XS,0.0,shopify,10,deny,manual,7990.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03207_copy.jpg?v=1775122860,1,,false,,,,kg,,,active
frame-top-ecru,,,,,,,,,S,,,,,,,,WT02-Ecru-S,0.0,shopify,10,deny,manual,7990.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03209_copy.jpg?v=1775122866,2,,,,,,kg,,,
frame-top-ecru,,,,,,,,,M,,,,,,,,WT02-Ecru-M,0.0,shopify,10,deny,manual,7990.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03215_copy.jpg?v=1775122871,3,,,,,,kg,,,
frame-top-ecru,,,,,,,,,L,,,,,,,,WT02-Ecru-L,0.0,shopify,10,deny,manual,7990.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03231_copy.jpg?v=1775122877,4,,,,,,kg,,,
